frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
47,5.0,1061.8665391416405 584.055676167388 1515.4057128201368 938.1843003438477,1208.5484619140625 814.5752563476562 1299.028564453125 865.7803344726562,0.639205276966095,SPF-787,0.9607446789741516
48,5.0,1059.0912741564498 585.4379713859978 1514.5293715766256 940.2507074534835,1209.378662109375 816.5744018554688 1299.0615234375 865.1991577148438,0.6548684239387512,SPF-787,0.9735950231552124
49,5.0,1055.6940190434273 587.8101374972787 1512.3934334640091 942.8301059219527,1211.14208984375 820.169189453125 1294.898193359375 868.4892578125,0.6811102032661438,SPF-787,0.9755083322525024
50,5.0,1053.4861860751607 589.2421440665208 1509.4878221913968 944.1942467747855,1205.5849609375 823.398681640625 1290.532958984375 871.5697021484375,0.6552507281303406,SPF-787,0.9640372395515442
51,5.0,1050.636502996395 592.2182120884187 1505.3076089869814 948.0687299597486,1201.8079833984375 825.70849609375 1292.013427734375 873.338134765625,0.6370947360992432,SPF-787,0.9595091938972473
52,5.0,1048.1885526024766 597.0093550003586 1502.2501114551874 952.4475315192889,1196.96142578125 833.0249633789062 1284.3212890625 880.893310546875,0.6276071071624756,SPF-787,0.9590082168579102
53,5.0,1045.787654970958 603.0837283900422 1499.9519143805887 956.3848048046415,1197.640869140625 839.5250244140625 1291.329345703125 890.9146728515625,0.6951907277107239,SPF-787,0.9571868181228638
54,5.0,1043.9613284057443 610.9830808964216 1498.9726747167367 963.8718734373961,1200.35205078125 847.3707275390625 1283.5338134765625 895.5281982421875,0.6810607314109802,SPF-787,0.9682170748710632
55,5.0,1040.3877768525606 619.2158883307214 1496.159053264554 973.4375191015816,1195.6845703125 861.05224609375 1279.119873046875 908.787841796875,0.6776431798934937,SPF-787,0.9430215954780579
56,5.0,1037.2963774506634 635.0117275248473 1494.340904063703 990.5127732734749,1182.8221435546875 876.5460205078125 1274.6905517578125 924.57861328125,0.6347736716270447,SPF-787,0.981055736541748
57,5.0,1033.9280815988059 651.5415297619611 1492.408553279885 1007.2488961817949,1189.8280029296875 896.6101684570312 1276.8023681640625 945.1008911132812,0.6379438638687134,SPF-787,0.9692512154579163
58,5.0,1030.9811165030396 670.5345144280859 1488.4138334999184 1024.1487883118948,1183.8961181640625 917.4620361328125 1269.963623046875 967.196044921875,0.6765668988227844,SPF-787,0.9749317169189453
58,2.0,821.1512448005824 311.95394156531347 1050.1948383446124 534.9922210605481,929.47412109375 444.89959716796875 977.7271728515625 481.57635498046875,0.3911551535129547,S,0.5182908773422241
59,5.0,1028.5400833422443 693.9714535676181 1485.513213540067 1045.7903196877119,1175.115234375 935.2666625976562 1269.169921875 985.6466674804688,0.6841457486152649,SPF-787,0.9763702154159546
60,5.0,1020.421690722443 707.1413846956073 1480.0250179812697 1057.6074525918616,1171.665771484375 948.7919311523438 1262.15234375 995.627197265625,0.669259250164032,SPF-787,0.9688054323196411
61,5.0,1012.3470183252032 715.9150895935392 1474.9172948367247 1065.6087040491338,1174.511474609375 956.9267578125 1265.5546875 1007.8084716796875,0.7015938758850098,SPF-787,0.9649848937988281
62,5.0,1007.3329547521207 721.5314492949815 1470.816769378016 1069.5419734428017,1171.526123046875 961.0693359375 1259.06787109375 1011.0692138671875,0.6966312527656555,SPF-787,0.9667956233024597
63,5.0,1006.7762618123538 723.9800950021863 1472.4801891389916 1068.9192479487356,1170.833740234375 967.4067993164062 1255.25634765625 1013.54443359375,0.6891096830368042,SPF-787,0.9661555290222168
64,5.0,1002.6642132025285 726.1938345084264 1469.9328136691047 1070.2613532623834,1168.861572265625 964.54833984375 1255.578125 1013.9132080078125,0.7009328007698059,SPF-787,0.9783667922019958
65,5.0,998.4967835301967 726.9711773227339 1467.5802035310894 1070.8222318018732,1165.093994140625 962.9783935546875 1254.2708740234375 1012.7486572265625,0.6946266293525696,SPF-787,0.9839269518852234
66,5.0,994.1855241289943 724.7037886306161 1461.6418953071563 1069.234943222386,1162.37158203125 959.1651611328125 1253.075927734375 1008.94580078125,0.6937451362609863,SPF-787,0.9693247675895691
67,5.0,990.4554606391525 721.5576936285393 1456.94892162312 1067.5148388316977,1154.50341796875 956.257568359375 1246.055419921875 1005.94580078125,0.6974769234657288,SPF-787,0.9694330096244812
68,5.0,985.7459202606744 717.0266007357061 1451.8245402840023 1063.2193923620957,1151.902587890625 945.4172973632812 1242.8876953125 994.6528930664062,0.6629902124404907,SPF-787,0.9714390635490417
69,5.0,981.4721443919971 709.0861905096641 1445.7092948680047 1055.4293211588806,1147.16064453125 935.2985229492188 1240.8087158203125 989.3109741210938,0.6847227215766907,SPF-787,0.9695716500282288
70,5.0,979.2743165901876 702.1909355149676 1442.9857837602472 1049.969281681729,1149.717529296875 931.9771728515625 1241.5732421875 982.9171142578125,0.6839260458946228,SPF-787,0.9748849868774414
70,2.0,813.5205678819251 331.11371431036116 1043.800231355131 556.954119398674,923.2095336914062 459.01776123046875 971.1172485351562 490.98651123046875,0.39022552967071533,S,0.6162204146385193
71,5.0,977.6612125371938 695.3221244068361 1440.987515563892 1045.369180111486,1147.07470703125 928.253173828125 1231.617431640625 976.7318115234375,0.6480607986450195,SPF-787,0.9778478741645813
72,5.0,974.0408773356071 687.9720248188731 1437.5870075658895 1036.434284990341,1148.559326171875 924.2442626953125 1232.1993408203125 970.9010009765625,0.6483504772186279,SPF-787,0.9740924835205078
73,5.0,972.1042579373539 685.3085536067376 1436.3746586124248 1034.1809970298618,1142.08544921875 923.3282470703125 1233.21044921875 970.7730712890625,0.6570185422897339,SPF-787,0.9858105778694153
74,5.0,969.1644386068168 686.6222593932757 1432.8113997477888 1035.3935365715622,1141.509765625 924.169921875 1232.0570068359375 972.1865844726562,0.6642321944236755,SPF-787,0.9759106040000916
75,5.0,965.449688177986 688.2988756944858 1425.7275614158539 1038.7700982592853,1134.9658203125 925.4287719726562 1228.8468017578125 975.2288818359375,0.6246835589408875,SPF-787,0.9803559184074402
76,5.0,964.0273968843256 689.1487179384701 1423.3521229548878 1040.8213890098373,1138.21875 927.910400390625 1225.0400390625 975.1300048828125,0.6296195983886719,SPF-787,0.9690808057785034
77,5.0,959.7177694802333 689.6027522326847 1416.7468099457408 1043.3352391818507,1138.98681640625 928.5179443359375 1228.5419921875 980.28662109375,0.6733011603355408,SPF-787,0.9634380340576172
